region_origin,period_first_mobility,sum_mobile_origin_period,region_destination,n_mobile,prop_mobile
Eastern Asia,1,3873,South-eastern Asia,209,0.053963336
Eastern Asia,1,3873,CA,187,0.048282985
Eastern Asia,1,3873,Oceania,100,0.025819778
Eastern Asia,1,3873,South Asia,84,0.021688613
Eastern Asia,1,3873,Central Asia & Eastern Europe,83,0.021430416
Eastern Asia,1,3873,Southern Europe,40,0.010327911
Eastern Asia,1,3873,Middle East & North Africa,37,0.009553318
Eastern Asia,1,3873,Latin America & Caribbean,22,0.005680351
Eastern Asia,1,3873,Sub-Saharan Africa,16,0.004131164
Eastern Asia,2,19008,US,9628,0.506523569
Eastern Asia,2,19008,Western & Northern Europe,2864,0.150673401
Eastern Asia,2,19008,Eastern Asia,2751,0.144728535
Eastern Asia,2,19008,South-eastern Asia,1005,0.052872475
Eastern Asia,2,19008,CA,845,0.044454966
Eastern Asia,2,19008,Oceania,648,0.034090909
Eastern Asia,2,19008,South Asia,387,0.020359848
Eastern Asia,2,19008,Central Asia & Eastern Europe,295,0.015519781
Eastern Asia,2,19008,Southern Europe,221,0.011626684
Eastern Asia,2,19008,Middle East & North Africa,199,0.010469276
Eastern Asia,2,19008,Latin America & Caribbean,84,0.004419192
Eastern Asia,2,19008,Sub-Saharan Africa,81,0.004261364
Eastern Asia,3,33396,US,15710,0.470415619
Eastern Asia,3,33396,Western & Northern Europe,5570,0.166786441
Eastern Asia,3,33396,Eastern Asia,4173,0.124955084
Eastern Asia,3,33396,South-eastern Asia,2678,0.080189244
Eastern Asia,3,33396,CA,1349,0.040394059
Eastern Asia,3,33396,Oceania,1293,0.038717212
Eastern Asia,3,33396,South Asia,975,0.029195113
Eastern Asia,3,33396,Middle East & North Africa,557,0.016678644
Eastern Asia,3,33396,Southern Europe,392,0.011737933
Eastern Asia,3,33396,Central Asia & Eastern Europe,364,0.010899509
Eastern Asia,3,33396,Sub-Saharan Africa,206,0.006168403
Eastern Asia,3,33396,Latin America & Caribbean,129,0.003862738
Eastern Asia,4,47975,US,21122,0.440270974
Eastern Asia,4,47975,Western & Northern Europe,8727,0.181907243
Eastern Asia,4,47975,Eastern Asia,5157,0.107493486
Eastern Asia,4,47975,South-eastern Asia,4255,0.088692027
Eastern Asia,4,47975,Oceania,2374,0.049484106
Eastern Asia,4,47975,CA,1859,0.038749349
Eastern Asia,4,47975,South Asia,1768,0.036852527
Eastern Asia,4,47975,Middle East & North Africa,936,0.019510162
Eastern Asia,4,47975,Southern Europe,543,0.011318395
Eastern Asia,4,47975,Sub-Saharan Africa,520,0.010838979
Eastern Asia,4,47975,Central Asia & Eastern Europe,514,0.010713913
Eastern Asia,4,47975,Latin America & Caribbean,200,0.004168838
Eastern Asia,5,53246,US,19102,0.358749953
Eastern Asia,5,53246,Western & Northern Europe,11670,0.219171393
Eastern Asia,5,53246,Eastern Asia,5818,0.109266424
Eastern Asia,5,53246,South-eastern Asia,5531,0.103876348
Eastern Asia,5,53246,South Asia,2581,0.048473125
Eastern Asia,5,53246,Oceania,2285,0.042914022
Eastern Asia,5,53246,CA,1856,0.034857078
Eastern Asia,5,53246,Middle East & North Africa,1225,0.023006423
Eastern Asia,5,53246,Sub-Saharan Africa,1204,0.022612027
Eastern Asia,5,53246,Southern Europe,900,0.016902678
Eastern Asia,5,53246,Central Asia & Eastern Europe,884,0.016602186
Eastern Asia,5,53246,Latin America & Caribbean,190,0.003568343
Latin America & Caribbean,1,1291,US,527,0.408210689
Latin America & Caribbean,1,1291,Western & Northern Europe,317,0.245546088
Latin America & Caribbean,1,1291,Southern Europe,165,0.127807901
Latin America & Caribbean,1,1291,Latin America & Caribbean,144,0.111541441
Latin America & Caribbean,1,1291,CA,69,0.05344694
Latin America & Caribbean,1,1291,Eastern Asia,21,0.01626646
Latin America & Caribbean,1,1291,Oceania,21,0.01626646
Latin America & Caribbean,1,1291,Central Asia & Eastern Europe,14,0.010844307
Latin America & Caribbean,1,1291,South Asia,8,0.006196747
Latin America & Caribbean,1,1291,Middle East & North Africa,3,0.00232378
Latin America & Caribbean,1,1291,Sub-Saharan Africa,2,0.001549187
Latin America & Caribbean,2,5664,US,2101,0.370939266
Latin America & Caribbean,2,5664,Western & Northern Europe,1490,0.263064972
Latin America & Caribbean,2,5664,Southern Europe,870,0.153601695
