region_origin,period_first_mobility,region_destination,n_outgoing,n_incoming,gain_index_stand
South-eastern Asia,2,Sub-Saharan Africa,24,21,-0.066666667
South-eastern Asia,3,Sub-Saharan Africa,78,54,-0.181818182
South-eastern Asia,4,Sub-Saharan Africa,363,170,-0.362101313
South-eastern Asia,5,Sub-Saharan Africa,544,296,-0.295238095
South-eastern Asia,1,US,193,237,0.102325581
South-eastern Asia,2,US,791,976,0.104697227
South-eastern Asia,3,US,1146,1668,0.185501066
South-eastern Asia,4,US,1549,1840,0.085866037
South-eastern Asia,5,US,1875,1484,-0.116403692
South-eastern Asia,1,Western & Northern Europe,138,222,0.233333333
South-eastern Asia,2,Western & Northern Europe,633,939,0.194656489
South-eastern Asia,3,Western & Northern Europe,1261,2137,0.257798705
South-eastern Asia,4,Western & Northern Europe,2084,2775,0.142210331
South-eastern Asia,5,Western & Northern Europe,2867,2359,-0.097206276
Southern Europe,1,CA,63,40,-0.223300971
Southern Europe,2,CA,278,142,-0.323809524
Southern Europe,3,CA,450,194,-0.397515528
Southern Europe,4,CA,635,194,-0.531966224
Southern Europe,5,CA,575,236,-0.418002466
